exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,has_elevator,has_balcony,latitude,longitude,main_neighborhood,sub_neighborhood,date,year,month,season,rooms_per_sqm,is_central,seasonal_price_trend,price_change_pct,monthly_price_change,location_avg_price_per_sqm,location_avg_price_per_sqm_sub,months_since_sale,predicted_ending_price
Arkitektvägen 45,3195000.0,50.0,2.0,1.0,3077.0,63900.0,True,False,,,abrahamsberg,central,2024-09-17 07:17:05.119757,2024,9,4,0.04,0,5423264.851586489,,-0.36492890995260663,57723.13296903461,80164.38654110392,0,2803871.2301587295
Smedsbacksgatan 7,8495000.0,77.0,3.0,8.0,4833.0,110325.0,True,True,,,gärdet,central,2024-09-17 07:17:05.119757,2024,9,4,0.03896103896103896,0,5423264.851586489,,-0.36492890995260663,107664.52810394221,80164.38654110392,0,7193313.134920636
Starrängsringen 23,5995000.0,58.0,2.0,1.0,3518.0,103362.0,True,True,,,nedre gärdet,central,2024-09-17 07:17:05.119757,2024,9,4,0.034482758620689655,0,5423264.851586489,,-0.36492890995260663,110543.893129771,80164.38654110392,0,6314890.952380952
Brännkyrkagatan 92A,2395000.0,25.0,1.0,2.0,1983.0,95800.0,False,False,,,södermalm,maria högalid,2024-09-17 07:17:05.119757,2024,9,4,0.04,0,5423264.851586489,,-0.36492890995260663,103268.90042472865,97356.8281938326,0,2747155.119047619
Ringvägen 41A,7450000.0,86.0,4.0,1.0,4119.0,86628.0,True,True,,,södermalm,central,2024-09-17 07:17:05.119757,2024,9,4,0.046511627906976744,0,5423264.851586489,,-0.36492890995260663,103268.90042472865,80164.38654110392,0,8280419.166666666
Skebokvarnsvägen 366,3300000.0,92.5,4.0,3.0,8185.0,35676.0,True,True,,,högdalen,central,2024-09-17 07:17:05.119757,2024,9,4,0.043243243243243246,0,5423264.851586489,,-0.36492890995260663,47227.54217966256,80164.38654110392,0,3635789.4047619044
Perstorpsvägen,2495000.0,45.0,2.0,1.0,3995.0,55444.0,True,False,,,farsta,central,2024-09-17 07:17:05.119757,2024,9,4,0.044444444444444446,0,5423264.851586489,,-0.36492890995260663,44029.48402948403,80164.38654110392,0,2072090.2380952379
Floragatan 12,15750000.0,88.0,3.0,5.0,5358.0,178977.0,True,True,,,östermalm,central,2024-09-17 07:17:05.119757,2024,9,4,0.03409090909090909,0,5423264.851586489,,-0.36492890995260663,132935.65588339852,80164.38654110392,0,11565751.547619047
"Skeppargatan 100, 1 tr",4450000.0,43.5,2.0,1.0,2809.0,102299.0,True,True,,,östermalm nedre gärdet,central,2024-09-17 07:17:05.119757,2024,9,4,0.04597701149425287,0,5423264.851586489,,-0.36492890995260663,117647.05882352941,80164.38654110392,0,4825452.103174604
,,,,,,,False,False,,,unknown,unknown,2024-09-17 07:17:05.119757,2024,9,4,,0,5423264.851586489,,-0.36492890995260663,,,0,4171498.690476191
,,,,,,,False,False,,,unknown,unknown,2024-09-17 07:17:05.119757,2024,9,4,,0,5423264.851586489,,-0.36492890995260663,,,0,4171498.690476191
,,,,,,,False,False,,,unknown,unknown,2024-09-17 07:17:05.119757,2024,9,4,,0,5423264.851586489,,-0.36492890995260663,,,0,4171498.690476191
,,,,,,,False,False,,,unknown,unknown,2024-09-17 07:17:05.119757,2024,9,4,,0,5423264.851586489,,-0.36492890995260663,,,0,4171498.690476191
,,,,,,,False,False,,,unknown,unknown,2024-09-17 07:17:05.119757,2024,9,4,,0,5423264.851586489,,-0.36492890995260663,,,0,4171498.690476191
Björketorpsvägen 9,4195000.0,96.0,4.0,1.0,5939.0,43698.0,True,False,,,norra ängby,central,2024-09-17 07:17:05.119757,2024,9,4,0.041666666666666664,0,5423264.851586489,,-0.36492890995260663,94454.75638051044,80164.38654110392,0,8313279.523809522
Perstorpsvägen,2495000.0,48.0,2.0,1.0,4136.0,51979.0,True,False,,,farsta,central,2024-09-17 07:17:05.119757,2024,9,4,0.041666666666666664,0,5423264.851586489,,-0.36492890995260663,44029.48402948403,80164.38654110392,0,2048601.3888888892
Kapellgränd 6,9000000.0,67.0,2.0,3.0,4348.0,134328.0,True,True,,,södermalm,central,2024-09-17 07:17:05.119757,2024,9,4,0.029850746268656716,0,5423264.851586489,,-0.36492890995260663,103268.90042472865,80164.38654110392,0,5998845.238095238
