link,exact_address,size,rooms,monthly_fee,location,has_elevator,has_balcony,listing_price,end_price,price_change_percentage,price_per_sqm,date
https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-thorildsplan-stockholms-kommun-geijersvagen-4-8139815554782728587,Geijersvägen 4,61.0,3.0,3811,"Kungsholmen - Thorildsplan, Stockholms kommun",False,False,5514150,5845000,6,95820,2024-09-14
"https://www.hemnet.se/salda/lagenhet-2rum-akalla-stockholms-kommun-sibeliusgangen-28,-8-tr-360159569108997819",Sibeliusgången 28,60.0,2.0,4953,"Akalla, Stockholms kommun",True,True,1595000,1595000,0,26583,2024-09-14
"https://www.hemnet.se/salda/lagenhet-3rum-hagersten-malarhojden-stockholms-kommun-klubbacken-6,-3tr-5594994533524733999",Klubbacken 6,68.0,3.0,3983,"Hägersten / Mälarhöjden, Stockholms kommun",False,True,4333333,4420000,2,65000,2024-09-14
https://www.hemnet.se/salda/lagenhet-4rum-telefonplan-stockholms-kommun-mobilgatan-11-339346582390216279,Mobilgatan 11,96.0,4.0,6609,"Telefonplan, Stockholms kommun",True,True,6181818,6800000,10,70833,2024-09-14
"https://www.hemnet.se/salda/lagenhet-1,5rum-kungsholmen-stockholms-kommun-bergsgatan-51,-van-2-5565666715747395279",Bergsgatan 51,31.0,1.5,885,"Kungsholmen, Stockholms kommun",True,False,3187500,3315000,4,106935,2024-09-14
https://www.hemnet.se/salda/lagenhet-2rum-traneberg-stockholms-kommun-kebnekaisevagen-20-170979127761301420,Kebnekaisevägen 20,41.0,2.0,2654,"Traneberg, Stockholms kommun",False,True,2500000,2700000,8,65854,2024-09-14
"https://www.hemnet.se/salda/lagenhet-2,5rum-vasastan-stockholms-kommun-sankt-eriksplan-5-1644468139602871863",Sankt eriksplan 5,63.0,2.5,2559,"Vasastan, Stockholms kommun",True,True,6969026,7875000,13,125000,2024-09-14
https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-sankt-eriksgatan-10-4583746966628488363,Sankt Eriksgatan 10,53.0,2.0,2096,"Kungsholmen, Stockholms kommun",True,True,6495000,6495000,0,122547,2024-09-14
https://www.hemnet.se/salda/lagenhet-3rum-midsommarkransen-stockholms-kommun-cedergrensvagen-40-1960542718284161594,Cedergrensvägen 40,51.0,3.0,4232,"Midsommarkransen, Stockholms kommun",False,False,3409090,3750000,10,73529,2024-09-14
"https://www.hemnet.se/salda/lagenhet-3rum-arsta-stockholms-kommun-arstavagen-83,-7tr-3064993623971369352",Årstavägen 83,64.0,3.0,5725,"Årsta, Stockholms kommun",True,True,3786407,3900000,3,60938,2024-09-14
