link,exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,location,has_elevator,has_balcony,latitude,longitude
"https://www.hemnet.se/bostad/lagenhet-2rum-abrahamsberg-stockholms-kommun-abrahamsbergsvagen-73,-van-3-3-21353924",Abrahamsbergsvägen 73,2995000,47.0,2.0,3,3759,63723,"Abrahamsberg, Stockholms kommun",False,True,,
https://www.hemnet.se/bostad/lagenhet-3rum-kungsholmen-stockholms-kommun-igeldammsgatan-22d-21385561,Igeldammsgatan 22d,8995000,100.0,3.0,3,7836,89950,"Kungsholmen, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-2rum-abrahamsberg-stockholms-kommun-arkitektvagen-45-21398295,Arkitektvägen 45,3195000,50.0,2.0,1,3077,63900,"Abrahamsberg, Stockholms kommun",True,False,,
"https://www.hemnet.se/bostad/lagenhet-2rum-midsommarkransen-stockholms-kommun-valsbergs-grand-8,-van-3-21409992",Valsbergs gränd 8,3650000,53.0,2.0,3,4331,68868,"Midsommarkransen, Stockholms kommun",False,True,,
https://www.hemnet.se/bostad/lagenhet-1rum-ostermalm-stockholms-kommun-grevgatan-23-21409806,Grevgatan 23,4295000,32.0,1.0,3,2316,134219,"Östermalm, Stockholms kommun",False,False,,
https://www.hemnet.se/bostad/lagenhet-4rum-ostermalm-stockholms-kommun-banergatan-23-21409979,Banérgatan 23,13950000,112.0,4.0,7,3209,124554,"Östermalm, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-6rum-invid-karlaplan-stockholms-kommun-lutzengatan-3-21410217,Lützengatan 3,23250000,195.0,6.0,0,6201,119231,"Invid Karlaplan, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-3rum-enskede-enskededalen-stockholms-kommun-gamla-tyresovagen-351-c-21410325,Gamla Tyresövägen 351 C,7195000,74.0,3.0,3,4213,97230,"Enskede - Enskededalen, Stockholms kommun",False,True,,
"https://www.hemnet.se/bostad/lagenhet-1rum-vasastan-stockholms-kommun-gavlegatan-2,-4tr-21410402",Gävlegatan 2,3195000,29.0,1.0,4,484,110172,"Vasastan, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-5rum-ostermalm-stockholms-kommun-grevgatan-37-21410629,Grevgatan 37,15500000,119.0,5.0,2,5212,130252,"Östermalm, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-4rum-ostermalm-stockholms-kommun-floragatan-10-21410627,Floragatan 10,18800000,118.0,4.0,5,2691,159322,"Östermalm, Stockholms kommun",True,False,,
"https://www.hemnet.se/bostad/lagenhet-1,5rum-vasastan-s-t-eriksplan-stockholms-kommun-tomtebogatan-1b-21410678",Tomtebogatan 1B,4495000,39.0,1.5,3,1469,115256,"Vasastan - S:t Eriksplan, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-2rum-vasastan-stockholms-kommun-frejgatan-25-21410704,Frejgatan 25,4495000,40.0,2.0,3,2471,112375,"Vasastan, Stockholms kommun",False,False,,
https://www.hemnet.se/bostad/lagenhet-1rum-bromma-alsten-stockholms-kommun-alstensgatan-23-21409943,Ålstensgatan 23,2795000,26.0,1.0,1,1051,107500,"Bromma - Ålsten, Stockholms kommun",False,False,,
"https://www.hemnet.se/bostad/lagenhet-2rum-vasastan-stockholms-kommun-tulegatan-23a,-3-tr-21410579",Tulegatan 23A,7150000,67.0,2.0,3,3474,106716,"Vasastan, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-2rum-lilla-essingen-stockholms-kommun-stralgatan-47-21410698,Strålgatan 47,2795000,32.0,2.0,4,2673,87344,"Lilla Essingen, Stockholms kommun",True,True,,
"https://www.hemnet.se/bostad/lagenhet-1,5rum-sodermalm-hornstull-stockholms-kommun-verkstadsgatan-11-21410633",Verkstadsgatan 11,3750000,44.0,1.5,5,3014,85227,"Södermalm- Hornstull, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-4rum-stockholms-kommun-malmovagen-75-21315882,Malmövägen 75,7645000,95.0,4.0,1,6248,80474,"Johanneshov, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-1rum-telefonplan-stockholms-kommun-mobilgatan-3f-21337282,Mobilgatan 3F,2675000,27.0,1.0,1,2304,99074,"Telefonplan, Stockholms kommun",True,False,,
"https://www.hemnet.se/bostad/lagenhet-2rum-nedre-ostermalm-stockholms-kommun-torstenssonsgatan-8a,-3tr-21409870",Torstenssonsgatan 8A,6995000,63.0,2.0,3,4921,111032,"Nedre Östermalm, Stockholms kommun",False,False,,
https://www.hemnet.se/bostad/lagenhet-3rum-stockholms-kommun-ystadsvagen-109-21316476,Ystadsvägen 109,6695000,86.0,3.0,1,5464,77849,"Johanneshov, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-5rum-stockholms-kommun-malmovagen-71-21315786,Malmövägen 71,9995000,114.0,5.0,1,7374,87675,"Johanneshov, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-2rum-bromma-blackeberg-stockholms-kommun-bjornsonsgatan-124-21406062,Björnsonsgatan 124,2495000,59.0,2.0,3,3539,42288,"Bromma Blackeberg, Stockholms kommun",False,False,,
"https://www.hemnet.se/bostad/lagenhet-3rum-sodermalm-stockholms-kommun-ludvigsbergsgatan-15,-2-tr-21410297",Ludvigsbergsgatan 15,6795000,81.0,3.0,2,3749,83889,"Södermalm, Stockholms kommun",True,True,,
"https://www.hemnet.se/bostad/lagenhet-4rum-djurgarden-stockholms-kommun-nordenskioldsgatan-86,-2-tr-21410355",Nordenskiöldsgatan 86,20000000,109.0,4.0,2,5445,183486,"Djurgården, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-2rum-vasastan-stockholms-kommun-roslagsgatan-21a-21410152,Roslagsgatan 21A,5400000,54.0,2.0,2,2668,100000,"Vasastan, Stockholms kommun",False,False,,
https://www.hemnet.se/bostad/lagenhet-4rum-ostermalm-stockholms-kommun-radmansgatan-11-21409570,Rådmansgatan 11,13495000,109.0,4.0,1,3845,123807,"Östermalm, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-1rum-alvsjo-stockholms-kommun-medaljonggatan-4b-21397100,Medaljonggatan 4B,2435000,34.0,1.0,3,3175,71618,"Älvsjö, Stockholms kommun",True,False,,
"https://www.hemnet.se/bostad/lagenhet-1rum-gardet-stockholms-kommun-brantingsgatan-25,-4-tr-21410226",Brantingsgatan 25,2750000,27.0,1.0,4,2208,101852,"Gärdet, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-2rum-marieviks-udde-stockholms-kommun-emmyborgsgatan-21326572,Emmyborgsgatan,5040000,47.0,2.0,2,4110,107234,"Marieviks Udde, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-2rum-marieviks-udde-stockholms-kommun-emmyborgsgatan-21367556,Emmyborgsgatan,4640000,49.0,2.0,3,4210,94694,"Marieviks Udde, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-2rum-nedre-gardet-stockholms-kommun-starrangsringen-23-21407757,Starrängsringen 23,5995000,58.0,2.0,1,3518,103362,"Nedre Gärdet, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-1rum-sodermalm-maria-hogalid-stockholms-kommun-brannkyrkagatan-92a-21408505,Brännkyrkagatan 92A,2395000,25.0,1.0,2,1983,95800,"Södermalm - Maria Högalid, Stockholms kommun",False,False,,
https://www.hemnet.se/bostad/lagenhet-2rum-farsta-stockholms-kommun-perstorpsvagen-21270587,Perstorpsvägen,2495000,45.0,2.0,1,3995,55444,"Farsta, Stockholms kommun",True,False,,
"https://www.hemnet.se/bostad/lagenhet-2rum-ostermalm-nedre-gardet-stockholms-kommun-skeppargatan-100,-1-tr-21409949",Skeppargatan 100,4450000,43.5,2.0,1,2809,102299,"Östermalm Nedre Gärdet, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-2rum-farsta-stockholms-kommun-perstorpsvagen-21410204,Perstorpsvägen,2495000,48.0,2.0,1,4136,51979,"Farsta, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-2rum-bagarmossen-stockholms-kommun-bergsradsvagen-12-21387481,Bergsrådsvägen 12,2650000,53.0,2.0,3,3734,50000,"Bagarmossen, Stockholms kommun",False,False,,
https://www.hemnet.se/bostad/lagenhet-3rum-farsta-stockholms-kommun-perstorpsvagen-21270575,Perstorpsvägen,3295000,63.0,3.0,1,5029,52302,"Farsta, Stockholms kommun",True,False,,
"https://www.hemnet.se/bostad/lagenhet-3rum-city-norrmalm-stockholms-kommun-olof-palmes-gata-12,-2tr-21409991",Olof Palmes gata 12,6390000,69.0,3.0,2,3321,92609,"City/Norrmalm, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-2rum-ostermalm-stockholms-kommun-linnegatan-39-b-21409799,Linnégatan 39 B,4995000,43.0,2.0,0,2180,116163,"Östermalm, Stockholms kommun",False,False,,
https://www.hemnet.se/bostad/lagenhet-4rum-vasastan-stockholms-kommun-roslagsgatan-47-21409913,Roslagsgatan 47,16975000,144.0,4.0,6,7932,117882,"Vasastan, Stockholms kommun",True,False,,
"https://www.hemnet.se/bostad/lagenhet-4rum-ostberga-alvsjo-stockholms-kommun-onsalagrand-15,-egen-ingang-21373764",Onsalagränd 15,3295000,95.0,4.0,1,5547,34684,"Östberga/Älvsjö, Stockholms kommun",True,True,,
