exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,has_elevator,has_balcony,latitude,longitude,date,year,month,season,months_since_sale,location_avg_price_per_sqm,rooms_per_sqm,is_central,main_neighborhood,sub_neighborhood,predicted_ending_price
Medaljonggatan 4B,2435000.0,34.0,1.0,3.0,3175.0,71618.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,59948.78361075544,0.029411764705882353,0,älvsjö,central,2172378.8
Rutger Fuchsgatan 9,3895000.0,47.0,2.0,2.0,2877.0,82872.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,106161.27474649927,0.0425531914893617,0,södermalm,katarina sofia,4628211.5
"Bellmansgatan 19, 2tr",9900000.0,83.0,3.0,2.0,4295.0,119277.0,False,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,108961.01136725805,0.03614457831325301,0,stockholm,central,8983364.0
Lillhagsvägen 18,2100000.0,69.0,3.0,3.0,6314.0,30435.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,30662.983425414364,0.043478260869565216,0,hagsätra,central,2060520.8
Kista alléväg 11,1650000.0,37.6,2.0,4.0,3168.0,43883.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,31429.782424413675,0.05319148936170213,0,kista,central,1653708.5
"Brantingsgatan 25, 4 tr",2750000.0,27.0,1.0,4.0,2208.0,101852.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,110136.75845499909,0.037037037037037035,0,gärdet,central,3291732.0
Emmyborgsgatan,5040000.0,47.0,2.0,2.0,4110.0,107234.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,,0.0425531914893617,0,marieviks udde,central,3800773.8
Emmyborgsgatan,4640000.0,49.0,2.0,3.0,4210.0,94694.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,,0.04081632653061224,0,marieviks udde,central,3979014.2
Hagagatan 18,7950000.0,70.0,3.0,3.0,5916.0,113571.0,False,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,117447.03452345825,0.04285714285714286,0,vasastan,central,8166305.5
Bygärdesvägen 4,1295000.0,28.0,1.0,2.0,2003.0,46250.0,False,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,35106.382978723406,0.03571428571428571,0,spånga,bromsten,1265755.4
