Datum;Grupp;Serie;Värde
2015-11-05;Riksbankens styrräntor;Styrränta;-0,35
2015-11-06;Riksbankens styrräntor;Styrränta;-0,35
2015-11-09;Riksbankens styrräntor;Styrränta;-0,35
2015-11-10;Riksbankens styrräntor;Styrränta;-0,35
2015-11-11;Riksbankens styrräntor;Styrränta;-0,35
2015-11-12;Riksbankens styrräntor;Styrränta;-0,35
2015-11-13;Riksbankens styrräntor;Styrränta;-0,35
2015-11-16;Riksbankens styrräntor;Styrränta;-0,35
2015-11-17;Riksbankens styrräntor;Styrränta;-0,35
2015-11-18;Riksbankens styrräntor;Styrränta;-0,35
2015-11-19;Riksbankens styrräntor;Styrränta;-0,35
2015-11-20;Riksbankens styrräntor;Styrränta;-0,35
2015-11-23;Riksbankens styrräntor;Styrränta;-0,35
2015-11-24;Riksbankens styrräntor;Styrränta;-0,35
2015-11-25;Riksbankens styrräntor;Styrränta;-0,35
2015-11-26;Riksbankens styrräntor;Styrränta;-0,35
2015-11-27;Riksbankens styrräntor;Styrränta;-0,35
2015-11-30;Riksbankens styrräntor;Styrränta;-0,35
2015-12-01;Riksbankens styrräntor;Styrränta;-0,35
2015-12-02;Riksbankens styrräntor;Styrränta;-0,35
2015-12-03;Riksbankens styrräntor;Styrränta;-0,35
2015-12-04;Riksbankens styrräntor;Styrränta;-0,35
2015-12-07;Riksbankens styrräntor;Styrränta;-0,35
2015-12-08;Riksbankens styrräntor;Styrränta;-0,35
2015-12-09;Riksbankens styrräntor;Styrränta;-0,35
2015-12-10;Riksbankens styrräntor;Styrränta;-0,35
2015-12-11;Riksbankens styrräntor;Styrränta;-0,35
2015-12-14;Riksbankens styrräntor;Styrränta;-0,35
2015-12-15;Riksbankens styrräntor;Styrränta;-0,35
2015-12-16;Riksbankens styrräntor;Styrränta;-0,35
2015-12-17;Riksbankens styrräntor;Styrränta;-0,35
2015-12-18;Riksbankens styrräntor;Styrränta;-0,35
2015-12-21;Riksbankens styrräntor;Styrränta;-0,35
2015-12-22;Riksbankens styrräntor;Styrränta;-0,35
2015-12-23;Riksbankens styrräntor;Styrränta;-0,35
2015-12-28;Riksbankens styrräntor;Styrränta;-0,35
2015-12-29;Riksbankens styrräntor;Styrränta;-0,35
2015-12-30;Riksbankens styrräntor;Styrränta;-0,35
2016-01-04;Riksbankens styrräntor;Styrränta;-0,35
2016-01-05;Riksbankens styrräntor;Styrränta;-0,35
2016-01-07;Riksbankens styrräntor;Styrränta;-0,35
2016-01-08;Riksbankens styrräntor;Styrränta;-0,35
2016-01-11;Riksbankens styrräntor;Styrränta;-0,35
2016-01-12;Riksbankens styrräntor;Styrränta;-0,35
2016-01-13;Riksbankens styrräntor;Styrränta;-0,35
2016-01-14;Riksbankens styrräntor;Styrränta;-0,35
2016-01-15;Riksbankens styrräntor;Styrränta;-0,35
2016-01-18;Riksbankens styrräntor;Styrränta;-0,35
2016-01-19;Riksbankens styrräntor;Styrränta;-0,35
2016-01-20;Riksbankens styrräntor;Styrränta;-0,35
2016-01-21;Riksbankens styrräntor;Styrränta;-0,35
2016-01-22;Riksbankens styrräntor;Styrränta;-0,35
2016-01-25;Riksbankens styrräntor;Styrränta;-0,35
2016-01-26;Riksbankens styrräntor;Styrränta;-0,35
2016-01-27;Riksbankens styrräntor;Styrränta;-0,35
2016-01-28;Riksbankens styrräntor;Styrränta;-0,35
2016-01-29;Riksbankens styrräntor;Styrränta;-0,35
2016-02-01;Riksbankens styrräntor;Styrränta;-0,35
2016-02-02;Riksbankens styrräntor;Styrränta;-0,35
2016-02-03;Riksbankens styrräntor;Styrränta;-0,35
2016-02-04;Riksbankens styrräntor;Styrränta;-0,35
2016-02-05;Riksbankens styrräntor;Styrränta;-0,35
2016-02-08;Riksbankens styrräntor;Styrränta;-0,35
2016-02-09;Riksbankens styrräntor;Styrränta;-0,35
2016-02-10;Riksbankens styrräntor;Styrränta;-0,35
2016-02-11;Riksbankens styrräntor;Styrränta;-0,35
2016-02-12;Riksbankens styrräntor;Styrränta;-0,35
2016-02-15;Riksbankens styrräntor;Styrränta;-0,35
2016-02-16;Riksbankens styrräntor;Styrränta;-0,35
