link,exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,has_elevator,has_balcony,latitude,longitude,date,main_neighborhood,sub_neighborhood,year,month,season,rooms_per_sqm,is_central,seasonal_price_trend,price_change_pct,monthly_price_change,location_avg_price_per_sqm,location_avg_price_per_sqm_sub,months_since_sale,predicted_price
"https://www.hemnet.se/bostad/lagenhet-1rum-vasastan-norrmalm-ostermalm-stockholms-kommun-radmansgatan-46,-4tr-21396736",Rådmansgatan 46,1975000,20.0,1.0,4,2365.0,98750.0,True,True,,,2024-09-17 15:35:01.568814,vasastan norrmalm östermalm,central,2024,9,4,0.05,0,77524.84182798317,,0.9067489730567821,,76758.71351259395,0.19710906701708278,2143858.0441666674
https://www.hemnet.se/bostad/lagenhet-3rum-liljeholmskajen-stockholms-kommun-fredsborgsgatan-6-21345376,Fredsborgsgatan 6,5495000,68.0,3.0,1,3314.0,80808.82352941176,True,False,,,2024-08-30 15:35:01.568814,liljeholmskajen,central,2024,8,3,0.04411764705882353,0,77036.65097520345,,-0.46946677415226534,73634.79327032994,76758.71351259395,0.7884362680683311,5537457.407821431
https://www.hemnet.se/bostad/lagenhet-3rum-alvsjo-stockholms-kommun-gamla-huddingevagen-446-21396889,Gamla Huddingevägen 446,2795000,70.0,3.0,2,3105.0,39928.57142857143,False,True,,,2024-09-23 15:35:01.568814,älvsjö,central,2024,9,4,0.04285714285714286,0,77524.84182798317,,0.9067489730567821,58267.68997488866,76758.71351259395,0.0,2902772.88879762
https://www.hemnet.se/bostad/lagenhet-3rum-stockholms-kommun-medaljonggatan-2b-21396760,Medaljonggatan 2B,4940000,74.0,3.0,2,5619.0,66756.75675675676,True,True,,,2024-08-24 15:35:01.568814,älvsjö,central,2024,8,3,0.04054054054054054,0,77036.65097520345,,-0.46946677415226534,58267.68997488866,76758.71351259395,0.9855453350854139,4814946.027404762
https://www.hemnet.se/bostad/lagenhet-4rum-stockholms-kommun-medaljonggatan-2b-19574996,Medaljonggatan 2B,5790000,93.0,4.0,3,6631.0,62258.06451612903,True,True,,,2024-09-14 15:35:01.568814,älvsjö,central,2024,9,4,0.043010752688172046,0,77524.84182798317,,0.9067489730567821,58267.68997488866,76758.71351259395,0.2956636005256242,5824926.549261903
"https://www.hemnet.se/bostad/lagenhet-2rum-vallingby-parkstad-racksta-stockholms-kommun-jamtlandsgatan-99,-van-1-13011-1001-20057237",Jämtlandsgatan 99,2795000,66.0,2.0,1,4597.0,42348.48484848485,True,False,,,2024-09-02 15:35:01.568814,vällingby parkstad,råcksta,2024,9,4,0.030303030303030304,0,77524.84182798317,,0.9067489730567821,48696.25183784469,43922.148790118285,0.6898817345597897,2782636.3533095247
https://www.hemnet.se/bostad/lagenhet-2rum-enskede-gubbangen-stockholms-kommun-cirkelvagen-24-a-21205185,Cirkelvägen 24 A,1995000,40.0,2.0,1,4283.0,49875.0,False,False,,,2024-08-24 15:35:01.568814,enskede,gubbängen,2024,8,3,0.05,0,77036.65097520345,,-0.46946677415226534,62168.519909154194,50773.15145483897,0.9855453350854139,2198075.9050952387
https://www.hemnet.se/bostad/lagenhet-2rum-telefonplan-stockholms-kommun-diavoxvagen-18a-21290872,Diavoxvägen 18A,3549000,45.0,2.0,8,4031.0,78866.66666666667,True,True,,,2024-09-22 15:35:01.568814,telefonplan,central,2024,9,4,0.044444444444444446,0,77524.84182798317,,0.9067489730567821,65724.27095112111,76758.71351259395,0.0328515111695138,3645871.627511906
https://www.hemnet.se/bostad/lagenhet-1rum-stockholms-kommun-diavoxvagen-18b-21311738,Diavoxvägen 18B,1899000,22.0,1.0,2,1971.0,86318.18181818182,True,True,,,2024-09-19 15:35:01.568814,hägersten,central,2024,9,4,0.045454545454545456,0,77524.84182798317,,0.9067489730567821,59160.43783605946,76758.71351259395,0.1314060446780552,1990922.5621666673
https://www.hemnet.se/bostad/lagenhet-2rum-globen-stockholms-kommun-skulptorvagen-1-21328136,Skulptörvägen 1,3475000,54.0,2.0,3,3653.0,64351.851851851854,False,True,,,2024-09-12 15:35:01.568814,globen,central,2024,9,4,0.037037037037037035,0,77524.84182798317,,0.9067489730567821,56068.963815463816,76758.71351259395,0.36136662286465177,3478076.237428572
"https://www.hemnet.se/bostad/lagenhet-3rum-kista-stockholms-kommun-helsingorsgatan-51,-van-3-3-21334589",HELSINGÖRSGATAN 51,2000000,81.0,3.0,3,6980.0,24691.35802469136,True,True,,,2024-09-02 15:35:01.568814,kista,central,2024,9,4,0.037037037037037035,0,77524.84182798317,,0.9067489730567821,30927.4714275923,76758.71351259395,0.6898817345597897,2022155.4889166665
