exact_address,price,size,rooms,monthly_fee,price_per_sqm,location,has_elevator,has_balcony,ending_price,price_change_percentage,ending_price_per_sqm
"Sibeliusgången 28, 8 tr",,60.0,2.0,4953,,"Akalla, Stockholms kommun",True,True,1595000,±0 %,26583
"Klubbacken 6, 3tr",,68.0,3.0,3983,,"Hägersten / Mälarhöjden, Stockholms kommun",False,True,4420000,-2 %,65000
Mobilgatan 11,,96.0,4.0,6609,,"Telefonplan, Stockholms kommun",True,True,6800000,+10 %,70833
"Bergsgatan 51, vån 2",,31.0,1.5,885,,"Kungsholmen, Stockholms kommun",True,False,3315000,+4 %,106935
Kebnekaisevägen 20,,41.0,2.0,2654,,"Traneberg, Stockholms kommun",False,True,2700000,+8 %,65854
Sankt eriksplan 5,,63.0,2.5,2559,,"Vasastan, Stockholms kommun",True,True,7875000,+13 %,125000
Sankt Eriksgatan 10,,53.0,2.0,2096,,"Kungsholmen, Stockholms kommun",True,True,6495000,±0 %,122547
Cedergrensvägen 40,,51.0,3.0,4232,,"Midsommarkransen, Stockholms kommun",False,False,3750000,+10 %,73529
"Årstavägen 83, 7tr",,64.0,3.0,5725,,"Årsta, Stockholms kommun",True,True,3900000,+3 %,60938
Tideliusgatan 61 5tr,,64.0,2.0,2994,,"Södermalm, Stockholms kommun",True,True,5495000,±0 %,85859
Sveavägen 137,,80.0,3.0,2911,,"Vasastan, Stockholms kommun",True,True,8950000,+7 %,111875
,,,,,,,False,False,,,
,,,,,,,False,False,,,
"Arkövägen 3, 2tr",,69.0,3.0,5869,,"Kärrtorp, Stockholms kommun",False,True,4025000,+15 %,58333
Molkomsbacken 15,,79.0,3.0,4410,,"Farsta, Stockholms kommun",False,True,2895000,±0 %,36646
"Slipgatan 2, 3tr",,35.0,1.0,2620,,"Södermalm, Stockholms kommun",True,False,3800000,+17 %,108571
"Fagningsgatan 5, 4tr",,79.0,3.0,5561,,"Norra Djurgårdsstaden, Stockholms kommun",True,True,8100000,+3 %,102532
Mobilgatan 5,,103.0,4.0,6717,,"Telefonplan, Stockholms kommun",True,True,6030000,+2 %,58544
"Bjurholmsgatan 37, 2 tr",,39.0,1.5,2296,,"Södermalm, Stockholms kommun",True,False,3900000,+13 %,100000
Katarina bangata 57,,65.0,3.0,3453,,"Södermalm - Katarina Sofia, Stockholms kommun",True,True,7100000,+14 %,109231
Reimersholmsgatan 77,,86.0,3.0,6294,,"Södermalm, Stockholms kommun",True,True,7100000,+2 %,82558
Brattforsgatan 1,,36.5,1.5,2925,,"Farsta Strand, Stockholms kommun",True,False,1850000,±0 %,50685
Vidängsvägen 47,,38.5,2.0,3542,,"Bromma Traneberg, Stockholms kommun",False,True,2450000,-2 %,63636
"Åsögatan 162, vån 6/6",,50.0,2.0,2255,,"Katarina, Stockholms kommun",True,True,5925000,+12 %,118500
Molkomsbacken 7,,80.0,3.5,4466,,"Farsta - Centrum, Stockholms kommun",False,True,2700000,+8 %,33750
"Norr Mälarstrand 58/John Ericssonsgatan 1,4tr",,60.0,2.0,3162,,"Nedre Kungsholmen, Stockholms kommun",False,False,6950000,+9 %,115833
"Ekensbergsvägen 15, vån 4 & 5",,139.0,6.0,4602,,"Gröndal, Stockholms kommun",True,True,10650000,+7 %,76619
Grimstagatan 62,,48.0,1.0,3792,,"Grimsta, Stockholms kommun",False,True,1180000,+19 %,24583
Huvudskärsvägen 3,,68.0,3.0,4891,,"Kärrtorp, Stockholms kommun",False,True,4250000,+6 %,62500
Svartågatan 74,,74.0,3.0,5322,,"Bagarmossen, Stockholms kommun",False,False,4030000,+5 %,54459
Askängsbacken 56,,34.0,2.0,3146,,"Bromma / Mariehäll, Stockholms kommun",True,True,2450000,+23 %,72059
Tegeluddsvägen 30,,26.0,1.0,1906,,"Östermalm / Gärdet, Stockholms kommun",True,True,2800000,±0 %,107692
Karlbergsvägen 25A,,35.0,2.0,1529,,"Stockholm, Stockholms kommun",True,False,4600000,+5 %,131429
Fågelsångsvägen 13,,101.0,4.0,6496,,"Gröndal, Stockholms kommun",True,True,10000000,+2 %,99010
Kungsklippan 22,,44.5,2.0,4694,,"Kungsholmen, Stockholms kommun",True,False,4925000,+3 %,110674
